iter	Passed	Remaining
932	19972	1434
933	19994	1412
934	20014	1391
935	20035	1369
936	20061	1348
937	20082	1327
938	20106	1306
939	20126	1284
940	20145	1263
941	20164	1241
942	20188	1220
943	20210	1198
944	20229	1177
945	20250	1155
946	20272	1134
947	20292	1113
948	20312	1091
949	20333	1070
950	20362	1049
951	20385	1027
952	20404	1006
953	20423	984
954	20445	963
955	20468	942
956	20491	920
957	20509	899
958	20532	877
959	20551	856
960	20569	834
961	20587	813
962	20606	791
963	20624	770
964	20643	748
965	20660	727
966	20679	705
967	20699	684
968	20717	662
969	20732	641
970	20755	619
971	20774	598
972	20792	576
973	20812	555
974	20833	534
975	20855	512
976	20878	491
977	20900	470
978	20917	448
979	20939	427
980	20961	405
981	20977	384
982	20999	363
983	21017	341
984	21033	320
985	21055	298
986	21080	277
987	21101	256
988	21124	234
989	21147	213
990	21171	192
991	21192	170
992	21215	149
993	21240	128
994	21262	106
995	21284	85
996	21308	64
997	21329	42
998	21365	21
999	21392	0
